City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution,,New Water,WA,Rating
Baku,40.4092617,49.8670924,,Azerbaijan,Baku  Azerbaijan ,29.89690722,69.02173913,,30.97826087,60.87516809,30.43758404
Madrid,40.4167754,-3.7037902,Community of Madrid,Spain,Madrid Community of Madrid Spain ,36.23417722,18.95424837,,81.04575163,117.2799288,58.63996442
Pittsburgh,40.4406248,-79.9958864,Pennsylvania,United States of America,Pittsburgh Pennsylvania United States of America ,58.92857143,59.61538462,,40.38461538,99.31318681,49.65659341
Taranto,40.4643606,17.2470303,Apulia,Italy,Taranto Apulia Italy ,75,50,,50,125,62.5
Brindisi,40.6327278,17.9417616,Apulia,Italy,Brindisi Apulia Italy ,35,58.33333333,,41.66666667,76.66666667,38.33333333
Thessaloniki,40.6400629,22.9444191,,Greece,Thessaloniki  Greece ,39.52380952,47.5,,52.5,92.02380952,46.01190476
Brooklyn,40.6781784,-73.9441579,New York,United States of America,Brooklyn New York United States of America ,52.08333333,33.65384615,,66.34615385,118.4294872,59.21474359
Salerno,40.6824408,14.7680961,Campania,Italy,Salerno Campania Italy ,60,58.33333333,,41.66666667,101.6666667,50.83333333
New York City,40.7127753,-74.0059728,New York,United States of America,New York City New York United States of America ,46.81603774,49.5049505,,50.49504951,97.31108724,48.65554362
Jersey City,40.7177545,-74.0431435,New Jersey,United States of America,Jersey City New Jersey United States of America ,58.33333333,60,,40,98.33333333,49.16666667
St. John's,40.7220627,-73.7942112,Newfoundland and Labrador,Canada,St. John's Newfoundland and Labrador Canada ,90.625,35.41666667,,64.58333333,155.2083333,77.60416667
Sassari,40.7259269,8.5556826,Sardinia,Italy,Sassari Sardinia Italy ,71.875,43.75,,56.25,128.125,64.0625
Newark,40.735657,-74.1723667,New Jersey,United States of America,Newark New Jersey United States of America ,50,62.5,,37.5,87.5,43.75
Salt Lake City,40.7607793,-111.8910474,Utah,United States of America,Salt Lake City Utah United States of America ,23.13432836,41.66666667,,58.33333333,81.46766169,40.73383085
Olbia,40.9235764,9.4964429,Sardinia,Italy,Olbia Sardinia Italy ,87.5,50,,50,137.5,68.75
Salamanca,40.9701039,-5.6635397,Castile and Leon,Spain,Salamanca Castile and Leon Spain ,96.42857143,25,,75,171.4285714,85.71428571
Caserta,41.0723484,14.3311337,Campania,Italy,Caserta Campania Italy ,34.375,56.25,,43.75,78.125,39.0625
Jinzhou,41.0951499,121.12703,Liaoning,People's Republic of China,Jinzhou Liaoning People's Republic of China ,0,75,,25,25,12.5
Bari,41.1171432,16.8718715,Apulia,Italy,Bari Apulia Italy ,63.33333333,22.22222222,,77.77777778,141.1111111,70.55555556
Tarragona,41.1188827,1.2444909,Catalonia,Spain,Tarragona Catalonia Spain ,50,45,,55,105,52.5
Cheyenne,41.1399814,-104.8202462,Wyoming,United States of America,Cheyenne Wyoming United States of America ,92.85714286,0,,100,192.8571429,96.42857143
Porto,41.1579438,-8.6291053,,Portugal,Porto  Portugal ,68.44262295,34.58333333,,65.41666667,133.8592896,66.92964481
Vilanova i la Geltru,41.2151504,1.727446,Catalonia,Spain,Vilanova i la Geltru Catalonia Spain ,87.5,50,,50,137.5,68.75
Tashkent,41.2994958,69.2400734,,Uzbekistan,Tashkent  Uzbekistan ,56.4516129,49.16666667,,50.83333333,107.2849462,53.64247312
Barletta,41.3196635,16.2838207,Apulia,Italy,Barletta Apulia Italy ,65,75,,25,90,45
Tirana,41.3275459,19.8186982,Tirana County,Albania,Tirana Tirana County Albania ,18.31683168,73.17708333,,26.82291667,45.13974835,22.56987417
Barcelona,41.3873974,2.168568,Catalonia,Spain,Barcelona Catalonia Spain ,35.49723757,51.31578947,,48.68421053,84.1814481,42.09072405
Badalona,41.446964,2.2449607,Catalonia,Spain,Badalona Catalonia Spain ,87.5,50,,50,137.5,68.75
Foggia,41.4621984,15.5446302,Apulia,Italy,Foggia Apulia Italy ,62.5,81.25,,18.75,81.25,40.625
Latina,41.4675671,12.9035965,Lazio,Italy,Latina Lazio Italy ,70.83333333,62.5,,37.5,108.3333333,54.16666667
Valparaiso,41.4730948,-87.0611412,Valparaiso Region,Chile,Valparaiso Valparaiso Region Chile ,51.92307692,30.55555556,,69.44444444,121.3675214,60.68376068
St. George's,41.4909882,-71.2731677,Saint George Parish,Grenada,St. George's Saint George Parish Grenada ,55,25,,75,130,65
Cleveland,41.49932,-81.6943605,Ohio,United States of America,Cleveland Ohio United States of America ,66.66666667,54.54545455,,45.45454545,112.1212121,56.06060606
Davenport,41.5236437,-90.5776367,Iowa,United States of America,Davenport Iowa United States of America ,86.36363636,53.57142857,,46.42857143,132.7922078,66.3961039
Des Moines,41.5868353,-93.6249593,Iowa,United States of America,Des Moines Iowa United States of America ,82.5,38.33333333,,61.66666667,144.1666667,72.08333333
Batumi,41.6167547,41.6367455,Adjara,Georgia,Batumi Adjara Georgia ,90.625,25,,75,165.625,82.8125
Toledo,41.6528052,-83.5378674,Castile-La Mancha,Spain,Toledo Castile-La Mancha Spain ,75,50,,50,125,62.5
Tbilisi,41.7151377,44.827096,,Georgia,Tbilisi  Georgia ,22.98387097,49.34782609,,50.65217391,73.63604488,36.81802244
Hartford,41.7658043,-72.6733723,Connecticut,United States of America,Hartford Connecticut United States of America ,65.38461538,50,,50,115.3846154,57.69230769
Shenyang,41.804778,123.432968,Liaoning,People's Republic of China,Shenyang Liaoning People's Republic of China ,6.25,76.5625,,23.4375,29.6875,14.84375
Providence,41.8239891,-71.4128343,Rhode Island,United States of America,Providence Rhode Island United States of America ,76.47058824,59.61538462,,40.38461538,116.8552036,58.42760181
Chicago,41.8781136,-87.6297982,Illinois,United States of America,Chicago Illinois United States of America ,57.43243243,53.62068966,,46.37931034,103.8117428,51.90587139
Girona,41.9794005,2.8214264,Catalonia,Spain,Girona Catalonia Spain ,100,0,,100,200,100
Gori,41.9854144,44.108411,Shida Kartli,Georgia,Gori Shida Kartli Georgia ,75,50,,50,125,62.5
Skopje,41.9981294,21.4254355,Greater Skopje,North Macedonia,Skopje Greater Skopje North Macedonia ,10.19417476,45.26315789,,54.73684211,64.93101686,32.46550843
Springfield,42.1074085,-72.5827199,Illinois,United States of America,Springfield Illinois United States of America ,90.625,62.5,,37.5,128.125,64.0625
Springfield,42.1074085,-72.5827199,Oregon,United States of America,Springfield Oregon United States of America ,25,50,,50,75,37.5
Plovdiv,42.1354079,24.7452904,Plovdiv region,Bulgaria,Plovdiv Plovdiv region Bulgaria ,31.41025641,36.29032258,,63.70967742,95.11993383,47.55996691
Vigo,42.2405989,-8.7207268,Galicia,Spain,Vigo Galicia Spain ,86.45833333,21.25,,78.75,165.2083333,82.60416667
Detroit,42.331427,-83.0457538,Michigan,United States of America,Detroit Michigan United States of America ,51.2195122,52.08333333,,47.91666667,99.13617886,49.56808943
L'Aquila,42.3498479,13.3995091,Abruzzo,Italy,L'Aquila Abruzzo Italy ,87.5,50,,50,137.5,68.75
Burgos,42.3504659,-3.6893545,Castile and Leon,Spain,Burgos Castile and Leon Spain ,100,33.33333333,,66.66666667,166.6666667,83.33333333
Boston,42.3600825,-71.0588801,Massachusetts,United States of America,Boston Massachusetts United States of America ,78.23529412,32.91139241,,67.08860759,145.3239017,72.66195086
Pontevedra,42.4298846,-8.6446202,Galicia,Spain,Pontevedra Galicia Spain ,96.42857143,16.66666667,,83.33333333,179.7619048,89.88095238
Podgorica,42.4304196,19.2593642,Podgorica Municipality,Montenegro,Podgorica Podgorica Municipality Montenegro ,51.13636364,38.88888889,,61.11111111,112.2474747,56.12373737
Pescara,42.4617902,14.2160898,Abruzzo,Italy,Pescara Abruzzo Italy ,61.11111111,79.16666667,,20.83333333,81.94444444,40.97222222
Burgas,42.5047926,27.4626361,Burgas Province,Bulgaria,Burgas Burgas Province Bulgaria ,46.42857143,46.73913043,,53.26086957,99.68944099,49.8447205
Andorra la Vella,42.5063174,1.5218355,Andorra la Vella,Andorra,Andorra la Vella Andorra la Vella Andorra ,37.5,25,,75,112.5,56.25
Salem,42.51954,-70.8967155,Tamil Nadu,India,Salem Tamil Nadu India ,48.80952381,64.28571429,,35.71428571,84.52380952,42.26190476
Terni,42.5636168,12.6426604,Umbria,Italy,Terni Umbria Italy ,42.5,50,,50,92.5,46.25
Dubrovnik,42.6506606,18.0944238,Dubrovnik-Neretva County,Croatia,Dubrovnik Dubrovnik-Neretva County Croatia ,87.5,40,,60,147.5,73.75
Albany,42.6525793,-73.7562317,New York,United States of America,Albany New York United States of America ,87.5,31.25,,68.75,156.25,78.125
Montecchio,42.6625254,12.2871206,Umbria,Italy,Montecchio Umbria Italy ,87.5,50,,50,137.5,68.75
Perpignan,42.6886591,2.8948332,,France,Perpignan  France ,95,50,,50,145,72.5
Sofia,42.6977082,23.3218675,Sofia City Province,Bulgaria,Sofia Sofia City Province Bulgaria ,23.62132353,40.94339623,,59.05660377,82.6779273,41.33896365
Lansing,42.732535,-84.5555347,Michigan,United States of America,Lansing Michigan United States of America ,92.85714286,41.66666667,,58.33333333,151.1904762,75.5952381
Pamplona,42.812526,-1.6457745,Navarre,Spain,Pamplona Navarre Spain ,100,0,,100,200,100
Bishkek,42.8746212,74.5697617,,Kyrgyzstan,Bishkek  Kyrgyzstan ,18.57142857,45.96774194,,54.03225806,72.60368664,36.30184332
Buffalo,42.8864468,-78.8783689,New York,United States of America,Buffalo New York United States of America ,77.08333333,36.95652174,,63.04347826,140.1268116,70.0634058
Sarnia,42.974536,-82.4065901,Ontario,Canada,Sarnia Ontario Canada ,70.58823529,50,,50,120.5882353,60.29411765
Makhachkala,42.9777885,47.5146913,Republic of Dagestan,Russia,Makhachkala Republic of Dagestan Russia ,62.5,43.75,,56.25,118.75,59.375
Lugo,43.0097384,-7.5567582,Galicia,Spain,Lugo Galicia Spain ,100,50,,50,150,75
Vladikavkaz,43.0252344,44.6659759,Republic of North Ossetia-Alania,Russia,Vladikavkaz Republic of North Ossetia-Alania Russia ,50,25,,75,125,62.5
Milwaukee,43.0389025,-87.9064736,Wisconsin,United States of America,Milwaukee Wisconsin United States of America ,79.06976744,43.29268293,,56.70731707,135.7770845,67.88854226
Syracuse,43.0481221,-76.1474244,Sicily,Italy,Syracuse Sicily Italy ,59.375,75,,25,84.375,42.1875
Sapporo,43.0617713,141.3544506,Hokkaido Prefecture,Japan,Sapporo Hokkaido Prefecture Japan ,81.25,25,,75,156.25,78.125
Perugia,43.1107168,12.3908279,Umbria,Italy,Perugia Umbria Italy ,70,50,,50,120,60
Vladivostok,43.1332484,131.9112975,Primorsky Krai,Russia,Vladivostok Primorsky Krai Russia ,35,67.5,,32.5,67.5,33.75
Brantford,43.1393867,-80.2644254,Ontario,Canada,Brantford Ontario Canada ,75,43.33333333,,56.66666667,131.6666667,65.83333333
Hvar,43.1541875,16.6527099,Split-Dalmatia County,Croatia,Hvar Split-Dalmatia County Croatia ,75,25,,75,150,75
Varna,43.2140504,27.9147333,Varna Province,Bulgaria,Varna Varna Province Bulgaria ,40.10416667,48.88888889,,51.11111111,91.21527778,45.60763889
Almaty,43.2220146,76.8512485,,Kazakhstan,Almaty  Kazakhstan ,11.83035714,48.86363636,,51.13636364,62.96672078,31.48336039
Bilbao,43.2630126,-2.9349852,Basque Autonomous Community,Spain,Bilbao Basque Autonomous Community Spain ,70,26.31578947,,73.68421053,143.6842105,71.84210526
Marseille,43.296482,5.36978,,France,Marseille  France ,29.44444444,52.43902439,,47.56097561,77.00542005,38.50271003
Macerata,43.2984268,13.4534767,Marche,Italy,Macerata Marche Italy ,93.75,8.333333333,,91.66666667,185.4166667,92.70833333
Siena,43.318809,11.3307574,Tuscany,Italy,Siena Tuscany Italy ,81.25,21.42857143,,78.57142857,159.8214286,79.91071429
Saginaw,43.4194699,-83.9508068,Michigan,United States of America,Saginaw Michigan United States of America ,85,70,,30,115,57.5
Split,43.5147,16.4435,Split-Dalmatia County,Croatia,Split Split-Dalmatia County Croatia ,71.71052632,30,,70,141.7105263,70.85526316
Gijon,43.5322015,-5.6611195,Asturias,Spain,Gijon Asturias Spain ,50,25,,75,125,62.5
Livorno,43.548473,10.3105674,Tuscany,Italy,Livorno Tuscany Italy ,55.55555556,62.5,,37.5,93.05555556,46.52777778
Cannes,43.552847,7.017369,,France,Cannes  France ,75,25,,75,150,75
Aviles,43.5579523,-5.9246653,Asturias,Spain,Aviles Asturias Spain ,50,50,,50,100,50
Sochi,43.6028079,39.7341543,Krasnodar Krai,Russia,Sochi Krasnodar Krai Russia ,75,42.85714286,,57.14285714,132.1428571,66.07142857
Toulouse,43.604652,1.444209,,France,Toulouse  France ,61.29032258,39.42307692,,60.57692308,121.8672457,60.93362283
Montpellier,43.610769,3.876716,,France,Montpellier  France ,71.66666667,29.54545455,,70.45454545,142.1212121,71.06060606
Boise,43.6150186,-116.2023137,Idaho,United States of America,Boise Idaho United States of America ,68.93939394,32.5,,67.5,136.4393939,68.21969697
Ancona,43.6158299,13.518915,Marche,Italy,Ancona Marche Italy ,63.88888889,30,,70,133.8888889,66.94444444
Toronto,43.653226,-79.3831843,Ontario,Canada,Toronto Ontario Canada ,65.53468208,37.7994012,,62.2005988,127.7352809,63.86764044
Nice,43.7101728,7.2619532,,France,Nice  France ,53.125,28.94736842,,71.05263158,124.1776316,62.08881579
Pisa,43.7228386,10.4016888,Tuscany,Italy,Pisa Tuscany Italy ,53.125,37.5,,62.5,115.625,57.8125
Sibenik,43.7350196,15.8952045,Sibenik-Knin County,Croatia,Sibenik Sibenik-Knin County Croatia ,100,0,,100,200,100
Monaco,43.7384176,7.4246158,,Monaco,Monaco  Monaco ,28.78787879,61.36363636,,38.63636364,67.42424242,33.71212121
Florence,43.7695604,11.2558136,Tuscany,Italy,Florence Tuscany Italy ,52.67857143,36,,64,116.6785714,58.33928571
Urumqi,43.8266299,87.61688,Xinjiang,People's Republic of China,Urumqi Xinjiang People's Republic of China ,16.66666667,62.5,,37.5,54.16666667,27.08333333
Lucca,43.8429197,10.5026977,Tuscany,Italy,Lucca Tuscany Italy ,66.66666667,37.5,,62.5,129.1666667,64.58333333
Sarajevo,43.8562586,18.4130763,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo Federation of Bosnia and Herzegovina Bosnia and Herzegovina ,25,44.01041667,,55.98958333,80.98958333,40.49479167
Prato,43.8777049,11.102228,Tuscany,Italy,Prato Tuscany Italy ,50,50,,50,100,50
San Marino,43.94236,12.457777,,San Marino,San Marino  San Marino ,87.5,50,,50,137.5,68.75
Avignon,43.949317,4.805528,,France,Avignon  France ,57.14285714,66.66666667,,33.33333333,90.47619048,45.23809524
Rimini,44.0678288,12.5695158,Emilia-Romagna,Italy,Rimini Emilia-Romagna Italy ,75,62.5,,37.5,112.5,56.25
Zadar,44.119371,15.2313648,Zadar County,Croatia,Zadar Zadar County Croatia ,100,8.333333333,,91.66666667,191.6666667,95.83333333
Forli,44.2227398,12.0407312,Emilia-Romagna,Italy,Forli Emilia-Romagna Italy ,58.33333333,100,,0,58.33333333,29.16666667
Savona,44.2975603,8.4645,Liguria,Italy,Savona Liguria Italy ,66.66666667,62.5,,37.5,104.1666667,52.08333333
Cuneo,44.3844766,7.5426711,Piedmont,Italy,Cuneo Piedmont Italy ,82.5,0,,100,182.5,91.25
Barrie,44.3893556,-79.6903316,Ontario,Canada,Barrie Ontario Canada ,83.82352941,29.16666667,,70.83333333,154.6568627,77.32843137
Genoa,44.4056499,8.946256,Liguria,Italy,Genoa Liguria Italy ,51.72413793,30,,70,121.7241379,60.86206897
Ravenna,44.4183598,12.2035294,Emilia-Romagna,Italy,Ravenna Emilia-Romagna Italy ,64.28571429,16.66666667,,83.33333333,147.6190476,73.80952381
Bucharest,44.4267674,26.1025384,,Romania,Bucharest  Romania ,23.50574713,55.02336449,,44.97663551,68.48238264,34.24119132
Bologna,44.494887,11.3426163,Emilia-Romagna,Italy,Bologna Emilia-Romagna Italy ,38.15789474,28.03030303,,71.96969697,110.1275917,55.06379585
Sevastopol,44.61665,33.525367,,Ukraine,Sevastopol  Ukraine ,75,56.25,,43.75,118.75,59.375
Modena,44.647128,10.9252269,Emilia-Romagna,Italy,Modena Emilia-Romagna Italy ,39.0625,50,,50,89.0625,44.53125
Halifax,44.6475811,-63.5727683,Nova Scotia,Canada,Halifax Nova Scotia Canada ,84.57446809,36.25,,63.75,148.3244681,74.16223404
Novorossiysk,44.7180464,37.7770118,Krasnodar Krai,Russia,Novorossiysk Krasnodar Krai Russia ,33.33333333,90,,10,43.33333333,21.66666667
Parma,44.801485,10.3279036,Emilia-Romagna,Italy,Parma Emilia-Romagna Italy ,34.375,56.81818182,,43.18181818,77.55681818,38.77840909
Belgrade,44.8125449,20.46123,Belgrade District,Serbia,Belgrade Belgrade District Serbia ,34.82532751,50.90497738,,49.09502262,83.92035014,41.96017507
Bordeaux,44.837789,-0.57918,,France,Bordeaux  France ,68.47826087,42.64705882,,57.35294118,125.831202,62.91560102
Ferrara,44.8381237,11.619787,Emilia-Romagna,Italy,Ferrara Emilia-Romagna Italy ,39.28571429,50,,50,89.28571429,44.64285714
Pula,44.8666232,13.8495788,Istria County,Croatia,Pula Istria County Croatia ,88.63636364,27.27272727,,72.72727273,161.3636364,80.68181818
Asti,44.9007512,8.2064257,Piedmont,Italy,Asti Piedmont Italy ,62.5,50,,50,112.5,56.25
Alessandria,44.9072727,8.6116796,Piedmont,Italy,Alessandria Piedmont Italy ,35.71428571,56.25,,43.75,79.46428571,39.73214286
Simferopol,44.952117,34.102417,Republic of Crimea,Russia,Simferopol Republic of Crimea Russia ,18.75,33.33333333,,66.66666667,85.41666667,42.70833333
Saint Paul,44.9537029,-93.0899578,Minnesota,United States of America,Saint Paul Minnesota United States of America ,88.54166667,30,,70,158.5416667,79.27083333
Minneapolis,44.977753,-93.2650108,Minnesota,United States of America,Minneapolis Minnesota United States of America ,79.51388889,33.57142857,,66.42857143,145.9424603,72.97123016
Krasnodar,45.036035,38.9745706,Krasnodar Krai,Russia,Krasnodar Krasnodar Krai Russia ,44.44444444,44.44444444,,55.55555556,100,50
Stavropol,45.0390116,41.9631954,Stavropol Krai,Russia,Stavropol Stavropol Krai Russia ,85.71428571,28.57142857,,71.42857143,157.1428571,78.57142857
Piacenza,45.0526206,9.6929845,Emilia-Romagna,Italy,Piacenza Emilia-Romagna Italy ,62.5,50,,50,112.5,56.25
Rovinj,45.0811661,13.6387067,Istria County,Croatia,Rovinj Istria County Croatia ,100,25,,75,175,87.5
Cremona,45.133249,10.0226511,Lombardy,Italy,Cremona Lombardy Italy ,50,50,,50,100,50
Slavonski Brod,45.1631431,18.0116081,Brod-Posavina County,Croatia,Slavonski Brod Brod-Posavina County Croatia ,27.27272727,17.85714286,,82.14285714,109.4155844,54.70779221
Tulcea,45.1716165,28.7914439,Tulcea County,Romania,Tulcea Tulcea County Romania ,80,29.16666667,,70.83333333,150.8333333,75.41666667
Grenoble,45.188529,5.724524,,France,Grenoble  France ,34.09090909,26.47058824,,73.52941176,107.6203209,53.81016043
Porec,45.2271652,13.5947399,Istria County,Croatia,Porec Istria County Croatia ,83.33333333,8.333333333,,91.66666667,175,87.5
Jixi,45.2952399,130.96954,Heilongjiang,People's Republic of China,Jixi Heilongjiang People's Republic of China ,12.5,50,,50,62.5,31.25
Rijeka,45.3270631,14.442176,Primorje-Gorski Kotar County,Croatia,Rijeka Primorje-Gorski Kotar County Croatia ,75,17.85714286,,82.14285714,157.1428571,78.57142857
Vukovar,45.3452377,19.0010204,Vukovar-Syrmia County,Croatia,Vukovar Vukovar-Syrmia County Croatia ,25,75,,25,50,25
Padua,45.4064349,11.8767611,Veneto,Italy,Padua Veneto Italy ,29.16666667,50,,50,79.16666667,39.58333333
Ottawa,45.4215296,-75.6971931,Ontario,Canada,Ottawa Ontario Canada ,84.56375839,27.99295775,,72.00704225,156.5708006,78.28540032
Verona,45.4383842,10.9916215,Veneto,Italy,Verona Veneto Italy ,36.11111111,42.85714286,,57.14285714,93.25396825,46.62698413
Venice,45.4408474,12.3155151,Veneto,Italy,Venice Veneto Italy ,36.25,67.85714286,,32.14285714,68.39285714,34.19642857
Novara,45.44693,8.6221612,Piedmont,Italy,Novara Piedmont Italy ,65,0,,100,165,82.5
Milan,45.4642035,9.189982,Lombardy,Italy,Milan Lombardy Italy ,24.39759036,39.49044586,,60.50955414,84.9071445,42.45357225
Karlovac,45.4928973,15.5552683,,Croatia,Karlovac  Croatia ,75,25,,75,150,75
Montreal,45.5016889,-73.567256,Quebec,Canada,Montreal Quebec Canada ,70.76023392,36.96319018,,63.03680982,133.7970437,66.89852187
Portland,45.515232,-122.6783853,Oregon,United States of America,Portland Oregon United States of America ,74.12280702,36.34259259,,63.65740741,137.7802144,68.89010721
Izola,45.5374048,13.6600802,Municipality of Izola,Slovenia,Izola Municipality of Izola Slovenia ,90,10,,90,180,90
Brescia,45.5415526,10.2118019,Lombardy,Italy,Brescia Lombardy Italy ,22.65625,70.53571429,,29.46428571,52.12053571,26.06026786
Vicenza,45.5454787,11.5354214,Veneto,Italy,Vicenza Veneto Italy ,45,47.5,,52.5,97.5,48.75
Koper,45.548059,13.7301877,City Municipality of Koper,Slovenia,Koper City Municipality of Koper Slovenia ,87.5,0,,100,187.5,93.75
Osijek,45.5549624,18.6955144,Osijek-Baranja County,Croatia,Osijek Osijek-Baranja County Croatia ,83.75,13.33333333,,86.66666667,170.4166667,85.20833333
Biella,45.5628842,8.0583397,Piedmont,Italy,Biella Piedmont Italy ,87.5,50,,50,137.5,68.75
Monza,45.5845001,9.2744485,Lombardy,Italy,Monza Lombardy Italy ,42.85714286,50,,50,92.85714286,46.42857143
Busto Arsizio,45.611892,8.8531265,Lombardy,Italy,Busto Arsizio Lombardy Italy ,0,75,,25,25,12.5
Trieste,45.6495264,13.7768182,Friuli-Venezia Giulia,Italy,Trieste Friuli-Venezia Giulia Italy ,58.87096774,29,,71,129.8709677,64.93548387
Treviso,45.6668893,12.2430437,Veneto,Italy,Treviso Veneto Italy ,50,27.77777778,,72.22222222,122.2222222,61.11111111
Bergamo,45.6982642,9.6772698,Lombardy,Italy,Bergamo Lombardy Italy ,46.66666667,35,,65,111.6666667,55.83333333
Villeurbanne,45.771944,4.8901709,,France,Villeurbanne  France ,75,50,,50,125,62.5
Clermont-Ferrand,45.777222,3.087025,,France,Clermont-Ferrand  France ,80.55555556,15,,85,165.5555556,82.77777778
Como,45.8080597,9.0851765,Lombardy,Italy,Como Lombardy Italy ,58.33333333,40,,60,118.3333333,59.16666667
Zagreb,45.8150108,15.981919,,Croatia,Zagreb  Croatia ,69.7740113,26.59883721,,73.40116279,143.1751741,71.58758705
Varese,45.8205989,8.8250576,Lombardy,Italy,Varese Lombardy Italy ,50,33.33333333,,66.66666667,116.6666667,58.33333333
Bjelovar,45.8987972,16.8423093,Bjelovar-Bilogora County,Croatia,Bjelovar Bjelovar-Bilogora County Croatia ,100,0,,100,200,100
Gorizia,45.9401812,13.6201754,Friuli-Venezia Giulia,Italy,Gorizia Friuli-Venezia Giulia Italy ,90,25,,75,165,82.5
Nova Gorica,45.9549755,13.6493044,City Municipality of Nova Gorica,Slovenia,Nova Gorica City Municipality of Nova Gorica Slovenia ,75,12.5,,87.5,162.5,81.25
Grosuplje,45.9557645,14.658899,Municipality of Grosuplje,Slovenia,Grosuplje Municipality of Grosuplje Slovenia ,100,0,,100,200,100
Fredericton,45.9635895,-66.6431151,New Brunswick,Canada,Fredericton New Brunswick Canada ,90,31.25,,68.75,158.75,79.375
Idrija,46.0029454,14.0278459,Municipality of Idrija,Slovenia,Idrija Municipality of Idrija Slovenia ,75,25,,75,150,75
Lugano,46.0036778,8.951052,Ticino,Switzerland,Lugano Ticino Switzerland ,67.85714286,12.5,,87.5,155.3571429,77.67857143
Ljubljana,46.0569465,14.5057515,Ljubljana City Municipality,Slovenia,Ljubljana Ljubljana City Municipality Slovenia ,72.16494845,17.58241758,,82.41758242,154.5825309,77.29126544
Udine,46.0710668,13.2345794,Friuli-Venezia Giulia,Italy,Udine Friuli-Venezia Giulia Italy ,72.5,33.33333333,,66.66666667,139.1666667,69.58333333
Trento,46.0747793,11.1217486,Trentino-South Tyrol,Italy,Trento Trentino-South Tyrol Italy ,86.76470588,0,,100,186.7647059,93.38235294
Zagorje ob Savi,46.1345186,14.9945975,Zagorje ob Savi Municipality,Slovenia,Zagorje ob Savi Zagorje ob Savi Municipality Slovenia ,62.5,50,,50,112.5,56.25
Domzale,46.1419417,14.5944171,Municipality of Domzale,Slovenia,Domzale Municipality of Domzale Slovenia ,50,0,,100,150,75
Koprivnica,46.1639381,16.8334752,Koprivnica-Krizevci County,Croatia,Koprivnica Koprivnica-Krizevci County Croatia ,100,0,,100,200,100
Skofja Loka,46.1671294,14.3058337,Municipality of Skofja Loka,Slovenia,Skofja Loka Municipality of Skofja Loka Slovenia ,100,0,,100,200,100
Geneva,46.2043907,6.1431577,Canton of Geneva,Switzerland,Geneva Canton of Geneva Switzerland ,71.53846154,17.37288136,,82.62711864,154.1655802,77.08279009
Charlottetown,46.23824,-63.1310704,Prince Edward Island,Canada,Charlottetown Prince Edward Island Canada ,97.5,20,,80,177.5,88.75
Celje,46.2397495,15.2677063,City Municipality of Celje,Slovenia,Celje City Municipality of Celje Slovenia ,50,8.333333333,,91.66666667,141.6666667,70.83333333
Kranj,46.2428344,14.3555417,City Municipality of Kranj,Slovenia,Kranj City Municipality of Kranj Slovenia ,80.55555556,12.5,,87.5,168.0555556,84.02777778
Varazdin,46.305746,16.3366066,Varazdin County,Croatia,Varazdin Varazdin County Croatia ,91.66666667,33.33333333,,66.66666667,158.3333333,79.16666667
Astrakhan,46.3586008,48.0569482,Astrakhan Oblast,Russia,Astrakhan Astrakhan Oblast Russia ,50,56.25,,43.75,93.75,46.875
Velenje,46.3622743,15.1106582,City Municipality of Velenje,Slovenia,Velenje City Municipality of Velenje Slovenia ,75,50,,50,125,62.5
Slovenska Bistrica,46.3919813,15.5727868,Municipality of Slovenska Bistrica,Slovenia,Slovenska Bistrica Municipality of Slovenska Bistrica Slovenia ,100,75,,25,125,62.5
Odessa,46.482526,30.7233095,Odessa Oblast,Ukraine,Odessa Odessa Oblast Ukraine ,50.5,58.85416667,,41.14583333,91.64583333,45.82291667
Slovenj Gradec,46.5075851,15.0768162,City Municipality of Slovenj Gradec,Slovenia,Slovenj Gradec City Municipality of Slovenj Gradec Slovenia ,75,0,,100,175,87.5
Lausanne,46.5196535,6.6322734,Canton of Vaud,Switzerland,Lausanne Canton of Vaud Switzerland ,78.26086957,17.5,,82.5,160.7608696,80.38043478
Ravne na Koroskem,46.5448323,14.9660445,Municipality of Ravne na Koroskem,Slovenia,Ravne na Koroskem Municipality of Ravne na Koroskem Slovenia ,75,50,,50,125,62.5
Maribor,46.5546503,15.6458812,Maribor City Municipality,Slovenia,Maribor Maribor City Municipality Slovenia ,76.25,18.75,,81.25,157.5,78.75
Poitiers,46.580224,0.340375,,France,Poitiers  France ,87.5,50,,50,137.5,68.75
Helena,46.5891452,-112.0391057,Montana,United States of America,Helena Montana United States of America ,100,50,,50,150,75
Klagenfurt,46.6364598,14.3122246,Carinthia,Austria,Klagenfurt Carinthia Austria ,71.42857143,16.66666667,,83.33333333,154.7619048,77.38095238
Murska Sobota,46.6581381,16.1610293,City Municipality of Murska Sobota,Slovenia,Murska Sobota City Municipality of Murska Sobota Slovenia ,62.5,50,,50,112.5,56.25
Fribourg,46.8064773,7.1619719,canton of Fribourg,Switzerland,Fribourg canton of Fribourg Switzerland ,92.85714286,25,,75,167.8571429,83.92857143
Bismarck,46.8083268,-100.7837392,North Dakota,United States of America,Bismarck North Dakota United States of America ,95.83333333,50,,50,145.8333333,72.91666667
